src,tgt,src_lang,tgt_lang,domain
i was expecting better for gaming .,ನಾನು ಆಟಗಳಿಗೆ ಉತ್ತಮವಾದದ್ದನ್ನು ನಿರೀಕ್ಷಿಸುತ್ತಿದ್ದೆ.,English,Kannada,E
but its not good. i bought today but now im going to sell it as soon as possible .,ಆದರೆ ಅದು ಚೆನ್ನಾಗಿಲ್ಲ. ನಾನು ಇವತ್ತು ಖರೀದಿಸಿದೆ ಆದರೆ ಈಗ ನಾನು ಅದನ್ನು ಆದಷ್ಟು ಬೇಗ ಮಾರಾಟ ಮಾಡುತ್ತೇನೆ.,English,Kannada,E
i got 6gb version at nearly 11k in offer best value for money deal .,ನಾನು 6gb ಆವೃತ್ತಿಯನ್ನು ಸುಮಾರು 11k ನಲ್ಲಿ ಆಫರ್‌ನಲ್ಲಿ ಉತ್ತಮ ಮೌಲ್ಯದ ಹಣದ ವ್ಯವಹಾರವನ್ನು ಪಡೆದುಕೊಂಡಿದ್ದೇನೆ.,English,Kannada,E
flipkart delivery was pathetic but the phone is awesome .,ಫ್ಲಿಪ್‌ಕಾರ್ಟ್ ವಿತರಣೆ ಶೋಚನೀಯವಾಗಿತ್ತು ಆದರೆ ಫೋನ್ ಅದ್ಭುತವಾಗಿದೆ.,English,Kannada,E
its is the best mobile phone in its category and price with the features that it has in it for the amount being paid .,ಪಾವತಿಸಿದ ಮೊತ್ತಕ್ಕೆ ತಕ್ಕಂತೆ ಅದರಲ್ಲಿರುವ ವೈಶಿಷ್ಟ್ಯಗಳೊಂದಿಗೆ ಇದು ತನ್ನ ವರ್ಗ ಮತ್ತು ಬೆಲೆಯಲ್ಲಿ ಅತ್ಯುತ್ತಮ ಮೊಬೈಲ್ ಫೋನ್ ಆಗಿದೆ.,English,Kannada,E
"instead of buying third grade chinese product like mi , oppo , vivo , huawai people can always buy this product and its value for money .","mi, oppo, vivo, huawai ನಂತಹ ಮೂರನೇ ದರ್ಜೆಯ ಚೈನೀಸ್ ಉತ್ಪನ್ನವನ್ನು ಖರೀದಿಸುವ ಬದಲು ಜನರು ಯಾವಾಗಲೂ ಈ ಉತ್ಪನ್ನವನ್ನು ಮತ್ತು ಅದರ ಮೌಲ್ಯವನ್ನು ಹಣಕ್ಕಾಗಿ ಖರೀದಿಸಬಹುದು.",English,Kannada,E
i bought this mobile on november 2. after three months mobile condition,ನಾನು ಈ ಮೊಬೈಲ್ ಅನ್ನು ನವೆಂಬರ್ 2ರಂದು ಖರೀದಿಸಿದ್ದೇನೆ. ಮೂರು ತಿಂಗಳ ನಂತರ ಮೊಬೈಲ್‌ನ ಸ್ಥಿತಿ…,English,Kannada,E
finger print sensor is not working,ಫಿಂಗರ್ ಪ್ರಿಂಟ್ ಸೆನ್ಸರ್ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿಲ್ಲ.,English,Kannada,E
fast charger not works. may be a update fix this,"ವೇಗದ ಚಾರ್ಜರ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ, ಬಹುಶಃ ನವೀಕರಣವು ಇದನ್ನು ಸರಿಪಡಿಸಬಹುದು.",English,Kannada,E
it takes 5 to 7 hours for full charging. some times fast charge works and it takes 2.30 hours,ಪೂರ್ಣ ಚಾರ್ಜ್ ಮಾಡಲು 5 ರಿಂದ 7 ಗಂಟೆಗಳು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ. ಕೆಲವು ಬಾರಿ ವೇಗದ ಚಾರ್ಜ್ ಕೆಲಸ ಮಾಡುತ್ತದೆ ಮತ್ತು ಇದು 2.30 ಗಂಟೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,English,Kannada,E
